index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
0,Sun Jun 11 2023 18:51:25,145.5936,4107.0,string,4096
28,Sun Jun 11 2023 18:59:28,283.3544,4107.0,string,4096
35,Sun Jun 11 2023 19:04:56,143.9917,4107.0,string,4096
42,Sun Jun 11 2023 19:15:33,30.0419,4107.0,string,4096
49,Sun Jun 11 2023 19:25:28,40.7839,4107.0,string,4096
56,Sun Jun 11 2023 19:34:45,41.8364,4107.0,string,4096
63,Sun Jun 11 2023 19:44:43,195.3784,4107.0,string,4096
70,Sun Jun 11 2023 19:52:37,158.8621,4107.0,string,4096
77,Sun Jun 11 2023 19:53:16,243.4818,4107.0,string,4096
84,Sun Jun 11 2023 19:53:55,46.557,4107.0,string,4096
91,Sun Jun 11 2023 19:54:35,54.7752,4107.0,string,4096
98,Sun Jun 11 2023 19:55:16,238.4518,4107.0,string,4096
105,Sun Jun 11 2023 19:56:44,156.5274,4107.0,string,4096
112,Sun Jun 11 2023 19:57:23,193.8998,4107.0,string,4096
119,Sun Jun 11 2023 19:58:01,50.0507,4107.0,string,4096
126,Sun Jun 11 2023 19:58:41,54.5898,4107.0,string,4096
133,Sun Jun 11 2023 19:59:23,247.1958,4107.0,string,4096
140,Sun Jun 18 2023 19:35:44,143.4284,4107.0,string,4096
147,Sun Jun 18 2023 19:36:06,218.5775,4107.0,string,4096
154,Sun Jun 18 2023 19:36:24,251.6601,4107.0,string,4096
161,Sun Jun 18 2023 19:36:36,246.4546,4107.0,string,4096
168,Sun Jun 18 2023 19:36:48,261.608,4107.0,string,4096
175,Sun Jun 11 2023 20:56:21,140.3394,4107.0,string,4096
182,Sun Jun 11 2023 21:05:34,34.8323,4107.0,string,4096
196,Sun Jun 11 2023 21:35:25,215.7957,4107.0,string,4096
210,Sun Jun 11 2023 21:55:27,139.5244,4107.0,string,4096
245,Thu Jun 15 2023 23:59:13,144.6623,4107.0,string,4096
259,Fri Jun 16 2023 00:12:33,62.2041,4107.0,string,4096
266,Fri Jun 16 2023 00:14:13,44.4847,4107.0,string,4096
280,Fri Jun 16 2023 00:22:06,135.3584,4107.0,string,4096
287,Fri Jun 16 2023 00:23:00,32.6267,4107.0,string,4096
301,Fri Jun 16 2023 00:33:28,40.503,4107.0,string,4096
315,Fri Jun 16 2023 00:40:58,152.0305,4107.0,string,4096
336,Fri Jun 16 2023 00:56:24,37.961,4107.0,string,4096
343,Fri Jun 16 2023 00:57:10,51.6284,4107.0,string,4096
350,Fri Jun 16 2023 01:00:53,155.3917,4107.0,string,4096
364,Fri Jun 16 2023 01:10:19,37.4279,4107.0,string,4096
371,Fri Jun 16 2023 01:14:16,47.0357,4107.0,string,4096
378,Fri Jun 16 2023 01:15:46,51.101,4107.0,string,4096
385,Sun Jun 18 2023 19:37:13,150.7727,4107.0,string,4096
392,Sun Jun 18 2023 19:55:29,33.0925,4107.0,string,4096
406,Sun Jun 18 2023 20:13:42,40.1949,4107.0,string,4096
413,Sun Jun 18 2023 20:23:50,46.0803,4107.0,string,4096
420,Mon Jun 12 2023 22:44:56,47.9684,4107.0,string,4096
434,Mon Jun 12 2023 22:51:06,313.5332,4107.0,string,4096
441,Mon Jun 12 2023 22:53:02,101.1056,4107.0,string,4096
448,Mon Jun 12 2023 22:55:40,145.4969,4107.0,string,4096
455,Tue Jun 13 2023 00:26:32,147.6491,4107.0,string,4096
462,Tue Jun 13 2023 00:37:11,43.4205,4107.0,string,4096
476,Tue Jun 13 2023 00:55:48,50.6258,4107.0,string,4096
490,Sun Jun 18 2023 21:27:08,141.6895,4107.0,string,4096
525,Sun Jun 11 2023 22:53:54,139.1399,4107.0,string,4096
560,Mon Jun 12 2023 23:11:08,150.5927,4107.0,string,4096
574,Mon Jun 12 2023 23:31:56,50.7924,4107.0,string,4096
581,Mon Jun 12 2023 23:41:13,30.2417,4107.0,string,4096
588,Mon Jun 12 2023 23:49:52,38.8359,4107.0,string,4096
